id_subsls,kd_prov,kd_kab,kd_kec,kd_desa,kd_sls,nama_prov,nama_kab,nama_kec,nama_desa,nama_sls,kd_pos
7103080011000400,71,03,080,011,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKA,LINDONGAN 04,95853
7103080011000500,71,03,080,011,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKA,LINDONGAN 05,95853
7103090008000300,71,03,090,008,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 03 LINGKUNGAN 2,95811
7103091002000100,71,03,091,002,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,BATULEWEHE,RT 01 LINGKUNGAN 1,95814
7103080011000200,71,03,080,011,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKA,LINDONGAN 02,95853
7103062002000100,71,03,062,002,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,BASAUH,LINDONGAN 01,95850
7103040006000300,71,03,040,006,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,BATUNDERANG,LINDONGAN 3,95854
7103100006000100,71,03,100,006,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BENGKETANG,LINDONGAN 01,95856
7103080011000100,71,03,080,011,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKA,LINDONGAN 01,95853
7103040005000200,71,03,040,005,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU SELATAN,BEBALANG,LINDONGAN 002,95854
7103100006000200,71,03,100,006,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BENGKETANG,LINDONGAN 02,95856
7103100006000400,71,03,100,006,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BENGKETANG,LINDONGAN 04,95856
7103100006000500,71,03,100,006,0005,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BENGKETANG,LINDONGAN 05,95856
7103070001000100,71,03,070,001,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BOWONGKALI,LINDONGAN 01,95857
7103091002000400,71,03,091,002,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,BATULEWEHE,RT 04 LINGKUNGAN 2,95814
7103061003000300,71,03,061,003,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,BEENG,LINDONGAN 03,95859
7103061008000300,71,03,061,008,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,TENDA,LINDONGAN 03,95859
7103062002000200,71,03,062,002,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,BASAUH,LINDONGAN 02,95850
7103062002000400,71,03,062,002,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGGARA,BASAUH,LINDONGAN 04,95850
